Date,Open,High,Low,Close,Adj Close,Volume
2023-07-01,30471.847656,31814.515625,28934.294922,29230.111328,29230.111328,382224489090
2023-08-01,29230.873047,30176.796875,25409.111328,25931.472656,25931.472656,437724169499
2023-09-01,25934.021484,27488.763672,24930.296875,26967.916016,26967.916016,337637313742
2023-10-01,26967.396484,35150.433594,26558.320313,34667.781250,34667.781250,476425634860
2023-11-01,34657.273438,38415.339844,34133.441406,37712.746094,37712.746094,570863267380
2023-12-01,37718.007813,44705.515625,37629.359375,42265.187500,42265.187500,721704910480
2024-01-01,42280.234375,48969.371094,38521.894531,42582.605469,42582.605469,825918941347
2024-02-01,42569.761719,63913.132813,41879.191406,61198.382813,61198.382813,830721862621
2024-03-01,61168.062500,73750.070313,59323.910156,71333.648438,71333.648438,1446417844950
2024-04-01,71333.484375,72715.359375,59120.066406,60636.855469,60636.855469,1016068331704
2024-05-01,60609.496094,71946.460938,56555.292969,67491.414063,67491.414063,874291509757
2024-06-01,67489.609375,71907.851563,58601.699219,60320.136719,60320.136719,696787835839
2024-06-30,60888.445313,61624.296875,60646.214844,61457.410156,61457.410156,13522332672
